comercializador,nome,tipo,segmento,faturacao,pagamento,opcao_horaria_e_ciclo,potencia_kva,preco_potencia_dia,formula_calculo,tar_incluida_energia,tar_incluida_potencia,financiamento_tse_incluido,desconto_fatura_mes,desconto_meses_limite,site_adesao,notas
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,1.15,0.2082,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,2.3,0.3095,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,3.45,0.4273,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,4.6,0.5355,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,5.75,0.6314,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,6.9,0.7655,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,10.35,1.0435,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,13.8,1.3242,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,17.25,1.6023,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
Alfa Energia,Alfa Energia - ALFA POWER INDEX BTN,Indexado quarto-horário,Doméstico e Não Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,20.7,1.9186,((OMIE/1000+Alfa_CGS)*PERDAS+Alfa_K)*Perfil_BTN,False,True,False,,,https://www.alfaenergia.pt/adesao,
