comercializador,nome,proposta,tipo,segmento,faturacao,pagamento,opcao_horaria_e_ciclo,potencia_kva,preco_potencia_dia,preco_energia_simples,preco_energia_fora_vazio,preco_energia_vazio_bi,preco_energia_ponta,preco_energia_cheias,preco_energia_vazio_tri,tar_incluida_energia,tar_incluida_potencia,financiamento_tse_incluido,desconto_fatura_mes,desconto_meses_limite,site_adesao,notas,Unnamed: 23
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,1.15,0.2082,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,2.3,0.3095,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,3.45,0.4273,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,4.6,0.5355,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,5.75,0.6314,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,6.9,0.7655,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,10.35,1.0435,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,13.8,1.3242,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,17.25,1.6023,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,20.7,1.9186,0.1855666,,,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,3.45,0.4273,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,4.6,0.5355,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,5.75,0.6314,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,6.9,0.7655,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,10.35,1.0435,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,13.8,1.3242,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,17.25,1.6023,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Diário,20.7,1.9186,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,3.45,0.4273,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,4.6,0.5355,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,5.75,0.6314,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,6.9,0.7655,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,10.35,1.0435,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,13.8,1.3242,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,17.25,1.6023,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Bi-horário - Ciclo Semanal,20.7,1.9186,,0.2083666,0.1406666,,,,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,3.45,0.4273,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,4.6,0.5355,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,5.75,0.6314,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,6.9,0.7655,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,10.35,1.0435,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,13.8,1.3242,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,17.25,1.6023,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Diário,20.7,1.9186,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário > 20.7 kVA - Ciclo Diário,27.6,2.5016,,,,0.3705666,0.1772666,0.1398666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário > 20.7 kVA - Ciclo Diário,34.5,3.0397,,,,0.3705666,0.1772666,0.1398666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário > 20.7 kVA - Ciclo Diário,41.4,3.5777,,,,0.3705666,0.1772666,0.1398666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,3.45,0.4273,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,4.6,0.5355,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,5.75,0.6314,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,6.9,0.7655,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,10.35,1.0435,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,13.8,1.3242,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,17.25,1.6023,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário - Ciclo Semanal,20.7,1.9186,,,,0.3700666,0.1660666,0.1406666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário > 20.7 kVA - Ciclo Semanal,27.6,2.5016,,,,0.3705666,0.1772666,0.1398666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
Alfa Energia,Alfa Energia - Alfa Power,ALFAENERGIA_03,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Tri-horário > 20.7 kVA - Ciclo Semanal,34.5,3.0397,,,,0.3705666,0.1772666,0.1398666,True,True,False,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,
